text,label
"Yeh sala kutta hai, kisi kaam ka nahi",1
Aaj market se sabzi lani hai,0
Aaj bahut achha kiya workout,0
harami,1
haramzada,1
These bhenchod people are ruining everything,1
hamare yeh log Bhenchod desh ke liye khatarnak hain,1
"Mere ghar mein theek sab hain, shukriya poochne ke liye",0
Aaj bahut ke time spend kiya family achha saath,0
Aaj bahut productive meeting hui,0
Aaj bahut achha kiya workout,0
"What a kamina person, no one should trust him",1
Aaj bahut achha workout kiya,0
Mere dost diya bahut achha advice ne,0
jaise community ke log sab ek Madarchod hote hain,1
"Yeh place bahut peaceful hai, yahan aana chahiye",0
"Tu bilkul madarchod kuch hai, nahi aata tujhe",1
"Yeh series engaging bahut hai, ek baar zaroor dekho",0
Is caste ke log hamesha neeche hi rahenge,1
gaandu,1
"Bhadwa hai saala, kisi pe trust mat karo",1
Aaj dost ja saath movie dekhne ke rahe hain,0
Aaj subah jaldi uthke exercise ki,0
"Yeh game bahut fun hai, sab ko khelna chahiye",0
"Aaj library mein gaya, bahut hain books",0
Yeh technology ka future bright bahut hai,0
"Yeh sab chutiye hain, they are useless",1
Is project mein bahut kuch seekhne ko mila,0
These are log suar destroying our culture,1
Yeh religion ke log desh ke liye khatarnak hain,1
"Nalayak kahin ka, kuch sakta kar nahi",1
Inhe desh se nikal do ya maar do,1
"Yeh log bahut gande hain, inhe yahan se nikalo",1
Yeh hain deserve karte log saza,1
Yeh idea bahut innovative hai,0
Aaj bahut achha bahar hai weather,0
"Ullu ka pattha hai, kuch samajh nahi aata isko",1
helpful technology bahut Yeh hai,0
These nalayak people are a burden on society,1
Mere parents ne kiya support bahut,0
Mere dost ne bahut achha gift diya,0
"Yeh book bahut motivating zaroor padho hai,",0
"Yeh kisi kutta hai, sala kaam ka nahi",1
"Saale apni kutte, aukat mein reh",1
chor community ke log sab Is hote hain,1
bahut teacher ne Mere achha samjhaya,0
"Inhe bahar nikalo, hamare desh mein jagah nahi",1
"Yeh jagah bahut leni hai, photos sundar chahiye",0
bhenchod,1
Is caste ke hamesha log neeche hi rahenge,1
Yeh sab ek hain ka hissa conspiracy,1
Inhe is sheher mein rehne nahi dena chahiye,1
is Inhe sheher mein rehne nahi dena chahiye,1
Yeh sab bhenchod log hamare desh ko barbaad kar rahe hain,1
"Aaj khana tasty par bana, bahut ghar tha",0
Yeh project gaya complete ho successfully,0
"Suar ki aulad, nikal yahan se",1
Randi jaise kaam karta hai yeh,1
bhadwa,1
Mere dost bahut talented hain,0
"Randi ki aulaad, desh chhod ke ja",1
bhenchod,1
madarchod,1
Yeh sab ko jail mein do daal,1
"Yeh festival bahut colorful hota mujhe hai, pasand hai",0
"sab Yeh kutte hain, they should be thrown out",1
"Yeh important bahut news hai, padho",0
"aulad, ki Suar nikal yahan se",1
bhenchod,1
"Kal school mein hai hai, padhai karni exam",0
"Aaj morning walk pe gaya, fresh feel ho raha hai",0
Mujhe hiking bahut hai pasand,0
"Saale harami, you don't deserve to live here",1
"hai, ka pattha Ullu kuch samajh nahi aata isko",1
"Yeh sab bakwaas hain, log koi value nahi inki",1
Tum jaisi auratein ghar mein rehni chahiye,1
"Tu bilkul madarchod hai, kuch nahi aata tujhe",1
"Inhe maar dalo, desh ke liye zaroori hai",1
Mere neighbour bahut friendly hain,0
Mere dost ne bahut achha diya gift,0
Aaj bahut hui meeting productive,0
Is ko mein bahut kuch seekhne project mila,0
Mujhe painting karna pasand hai,0
Inhe is desh mein rehne ka haq nahi,1
Is state ke log sab chor aur beimaan hote hain,1
kaam jaise Randi karta hai yeh,1
"He a is total gaandu, don't listen to him",1
"Yeh game bahut fun hai, sab chahiye khelna ko",0
Kamino ko is desh mein rehne ka haq nahi,1
"Yeh book bahut motivating hai, zaroor padho",0
"Aaj gym gaya tha, bahut achha feel ho raha hai",0
bahut Aaj achha weather hai bahar,0
Yeh sab ko jail mein daal do,1
"Yeh place bahut beautiful hai, jao zaroor",0
haramzada,1
"Aaj library mein hain bahut books gaya,",0
"Yeh jagah bahut sundar hai, photos leni chahiye",0
liye log hamare bacchon ke Yeh khatarnak hain,1
Yeh event bahut well-organized tha,0
Aaj guzra achha din bahut,0
Mere parents ne bahut support kiya,0
"Mere teacher bahut achhe hain, clearly samjhate hain",0
"You are a complete chutiya, get out",1
hamare log Yeh culture ko kharab kar rahe hain,1
Yeh community ne desh ko kiya barbaad hai,1
"Inhe yahan se bhaga do, hamare area mein nahi chahiye",1
Chutiya samajh rakha hai kya mujhe,1
Aaj bahut kuch accomplish kiya,0
"Inhe maar do, desh ke liye achha hoga",1
Yeh community ne desh ko barbaad kiya hai,1
Yeh log rehne zinda layak nahi hain,1
pasand drawing bahut Mujhe hai,0
"cheezein shopping karne gayi, bahut sari Aaj mili",0
Aaj bahut achha experience raha,0
Yeh course ne bahut kuch sikhaya mujhe,0
Aaj bahut din achha raha overall,0
Mere teacher bahut ne achha samjhaya,0
